,feature,importance,model,day_split,seed,lookback_days,lookforward_days_freezing,lookforward_days_predict
23,weed_pollen_latest,0.0,nonweather_patient_passive,0.7,0,5,2,3
3,grass_pollen_range,0.0,nonweather_patient_passive,0.7,0,5,2,3
60,wind_speed_mean,-0.0004950495049504955,nonweather_patient_passive,0.7,0,5,2,3
21,weed_pollen_gradient,-0.0004950495049504955,nonweather_patient_passive,0.7,0,5,2,3
62,wind_speed_skew,-0.000990099009900991,nonweather_patient_passive,0.7,0,5,2,3
64,wind_speed_median,-0.000990099009900991,nonweather_patient_passive,0.7,0,5,2,3
26,temperature_max,-0.002970297029702973,nonweather_patient_passive,0.7,0,5,2,3
31,temperature_gradient,-0.002970297029702973,nonweather_patient_passive,0.7,0,5,2,3
57,humidity_latest,-0.004455445544554459,nonweather_patient_passive,0.7,0,5,2,3
34,temperature_max_max,-0.004455445544554459,nonweather_patient_passive,0.7,0,5,2,3
49,temperature_min_latest,-0.006930693069306937,nonweather_patient_passive,0.7,0,5,2,3
38,temperature_max_skew,-0.008415841584158423,nonweather_patient_passive,0.7,0,5,2,3
56,humidity_median,-0.01435643564356437,nonweather_patient_passive,0.7,0,5,2,3
34,daily_prev_inhaler_mean,0.0724324324324324,nonweather_patient_active,0.7,0,5,2,3
37,daily_prev_inhaler_gradient,0.028648648648648623,nonweather_patient_active,0.7,0,5,2,3
6,rcp3_median,0.002702702702702697,nonweather_patient_active,0.7,0,5,2,3
26,daily_limit_activity_mean,0.00108108108108107,nonweather_patient_active,0.7,0,5,2,3
13,daily_day_symp_gradient,0.00108108108108107,nonweather_patient_active,0.7,0,5,2,3
21,daily_night_symp_gradient,0.000540540540540535,nonweather_patient_active,0.7,0,5,2,3
4,rcp3_skew,0.000540540540540535,nonweather_patient_active,0.7,0,5,2,3
5,rcp3_gradient,0.000540540540540535,nonweather_patient_active,0.7,0,5,2,3
2,rcp3_mean,0.000540540540540524,nonweather_patient_active,0.7,0,5,2,3
29,daily_limit_activity_gradient,0.0,nonweather_patient_active,0.7,0,5,2,3
24,daily_limit_activity_max,0.0,nonweather_patient_active,0.7,0,5,2,3
25,daily_limit_activity_min,0.0,nonweather_patient_active,0.7,0,5,2,3
27,daily_limit_activity_range,0.0,nonweather_patient_active,0.7,0,5,2,3
28,daily_limit_activity_skew,0.0,nonweather_patient_active,0.7,0,5,2,3
0,rcp3_max,0.0,nonweather_patient_active,0.7,0,5,2,3
30,daily_limit_activity_median,0.0,nonweather_patient_active,0.7,0,5,2,3
31,daily_limit_activity_latest,0.0,nonweather_patient_active,0.7,0,5,2,3
23,daily_night_symp_latest,0.0,nonweather_patient_active,0.7,0,5,2,3
35,daily_prev_inhaler_range,0.0,nonweather_patient_active,0.7,0,5,2,3
36,daily_prev_inhaler_skew,0.0,nonweather_patient_active,0.7,0,5,2,3
38,daily_prev_inhaler_median,0.0,nonweather_patient_active,0.7,0,5,2,3
33,daily_prev_inhaler_min,0.0,nonweather_patient_active,0.7,0,5,2,3
20,daily_night_symp_skew,0.0,nonweather_patient_active,0.7,0,5,2,3
22,daily_night_symp_median,0.0,nonweather_patient_active,0.7,0,5,2,3
1,rcp3_min,0.0,nonweather_patient_active,0.7,0,5,2,3
